
reward = -1000
epsilon = 0.1; gamma = 0.75; alpha = 0.5;

[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 69 totalScore 144 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 70 totalScore 144 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 71 totalScore 145 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 72 totalScore 145 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 73 totalScore 146 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 74 totalScore 146 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 26 StepCount 75 totalScore 150 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 26 StepCount 76 totalScore 153 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 77 totalScore 153 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 26 StepCount 78 totalScore 158 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 79 totalScore 158 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 80 totalScore 158 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 81 totalScore 158 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 82 totalScore 158 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 26 StepCount 83 totalScore 158 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 26 StepCount 84 totalScore 159 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 7 BEST SCORE SO FAR 26 StepCount 85 totalScore 166 (index.js, line 239)
