# reward = -1000, epsilon = 0.1, epsilon = 0.1, gamma = 0.1, alpha = 0.5;

[Log] Agent Object Initialized (agent.js, line 8)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 189 totalScore 392 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 190 totalScore 392 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 191 totalScore 392 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 192 totalScore 392 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 193 totalScore 392 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 20 StepCount 194 totalScore 394 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 195 totalScore 394 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 20 StepCount 196 totalScore 395 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 20 StepCount 197 totalScore 396 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 198 totalScore 396 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 199 totalScore 396 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 20 StepCount 200 totalScore 398 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 201 totalScore 398 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 20 StepCount 202 totalScore 402 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 203 totalScore 402 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 20 StepCount 204 totalScore 406 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 20 StepCount 205 totalScore 407 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 20 StepCount 206 totalScore 409 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 20 StepCount 207 totalScore 411 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 208 totalScore 411 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 209 totalScore 411 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 20 StepCount 210 totalScore 414 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 211 totalScore 414 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 20 StepCount 212 totalScore 415 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 213 totalScore 415 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 20 StepCount 214 totalScore 420 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 20 StepCount 215 totalScore 421 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 216 totalScore 421 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 20 StepCount 217 totalScore 421 (index.js, line 240)
