[Log] Agent Object Initialized (agent.js, line 8)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 10 StepCount 50 totalScore 76 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 10 StepCount 51 totalScore 80 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 10 BEST SCORE SO FAR 10 StepCount 52 totalScore 90 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 10 StepCount 53 totalScore 92 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 8 BEST SCORE SO FAR 10 StepCount 54 totalScore 100 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 12 BEST SCORE SO FAR 12 StepCount 55 totalScore 112 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 12 StepCount 56 totalScore 112 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 12 StepCount 57 totalScore 114 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 12 StepCount 58 totalScore 117 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 12 StepCount 59 totalScore 118 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 9 BEST SCORE SO FAR 12 StepCount 60 totalScore 127 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 12 StepCount 61 totalScore 127 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 12 StepCount 62 totalScore 127 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 12 StepCount 63 totalScore 127 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 12 StepCount 64 totalScore 129 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 12 StepCount 65 totalScore 129 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 12 StepCount 66 totalScore 129 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 12 StepCount 67 totalScore 131 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 12 StepCount 68 totalScore 132 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 12 StepCount 69 totalScore 136 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 12 StepCount 70 totalScore 136 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 12 StepCount 71 totalScore 137 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 12 StepCount 72 totalScore 138 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 12 StepCount 73 totalScore 138 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 12 StepCount 74 totalScore 141 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 12 StepCount 75 totalScore 145 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 12 StepCount 76 totalScore 149 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 12 StepCount 77 totalScore 149 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 12 StepCount 78 totalScore 150 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 12 StepCount 79 totalScore 155 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 12 StepCount 80 totalScore 160 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 12 StepCount 81 totalScore 160 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 12 StepCount 82 totalScore 165 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 12 StepCount 83 totalScore 165 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 12 StepCount 84 totalScore 165 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 23 BEST SCORE SO FAR 23 StepCount 85 totalScore 188 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 23 StepCount 86 totalScore 189 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 23 StepCount 87 totalScore 189 (index.js, line 239)
